SAMD11,NM_152486.2
ANXA11,NM_001157.2
MAT1A,NM_000429.2
NRG3,NM_001010848.3
CDHR1,NM_033100.3
RGR,NM_001012720.1
OPN4,NM_001030015.2
LDB3,NM_001080116.1
LDB3,NM_007078.2
LDB3,NM_001171611.1
LDB3,NM_001080114.1
BMPR1A,NM_004329.2
MMRN2,NM_024756.2
GLUD1,NM_005271.3
MINPP1,NM_004897.4
PAPSS2,NM_001015880.1
ATAD1,NM_032810.2
KLLN,NM_001126049.1
PTEN,NM_000314.5
RNLS,NM_001031709.2
LIPK,NM_001080518.1
LIPN,NM_001102469.1
ANKRD22,NM_144590.2
ACTA2,NM_001613.2
FAS,NM_000043.4
CH25H,NM_003956.3
LIPA,NM_000235.3
SLC16A12,NM_213606.3
HTR7,NM_019859.3
ANKRD1,NM_014391.2
PPP1R3C,NM_005398.5
CPEB3,NM_014912.4
IDE,NM_004969.3
KIF11,NM_004523.3
CYP26C1,NM_183374.2
CYP26A1,NM_000783.3
MYOF,NM_013451.3
CEP55,NM_001127182.1
FFAR4,NM_181745.3
RBP4,NM_006744.3
PDE6C,NM_006204.3
LGI1,NM_005097.2
PLCE1,NM_016341.3
HELLS,NM_018063.4
CYP2C18,NM_000772.2
CYP2C19,NM_000769.2
CYP2C9,NM_000771.3
CYP2C8,NM_000770.3
SORBS1,NM_001034954.1
ALDH18A1,NM_002860.3
TCTN3,NM_015631.5
ENTPD1,NM_001776.5
ZNF518A,NM_014803.3
BLNK,NM_013314.3
TM9SF3,NM_020123.3
PIK3AP1,NM_152309.2
RRP12,NM_015179.3
PGAM1,NM_002629.2
HOGA1,NM_138413.3
ZFYVE27,NM_001002261.3
PYROXD2,NM_032709.2
HPS1,NM_000195.3
HPSE2,NM_021828.4
GOT1,NM_002079.2
COX15,NM_004376.5
ABCC2,NM_000392.4
CPN1,NM_001308.2
ERLIN1,NM_006459.3
CHUK,NM_001278.3
CWF19L1,NM_018294.5
NDUFB8,NM_005004.3
HIF1AN,NM_017902.2
PAX2,NM_003988.3
SEMA4G,NM_017893.3
MRPL43,NM_176794.1
TWNK,NM_021830.4
PDZD7,NM_001195263.1
BTRC,NM_033637.3
POLL,NM_013274.3
FGF8,NM_033163.3
MGEA5,NM_012215.3
HPS6,NM_024747.5
PPRC1,NM_015062.4
PITX3,NM_005029.3
GBF1,NM_004193.2
NFKB2,NM_001077494.3
SUFU,NM_016169.3
TRIM8,NM_030912.2
ARL3,NM_004311.3
CYP17A1,NM_000102.3
AS3MT,NM_020682.3
CNNM2,NM_017649.4
NT5C2,NM_012229.4
INA,NM_032727.3
PDCD11,NM_014976.1
CALHM1,NM_001001412.3
STN1,NM_024928.4
SLK,NM_014720.3
COL17A1,NM_000494.3
CFAP43,NM_025145.5
GSTO1,NM_004832.2
GSTO2,NM_183239.1
CFAP58,NM_001008723.1
SORCS1,NM_001013031.2
XPNPEP1,NM_001167604.1
ADD3,NM_016824.3
SMC3,NM_005445.3
RBM20,NM_001134363.2
BBIP1,NM_001195306.1
SHOC2,NM_007373.3
ADRA2A,NM_000681.3
GPAM,NM_020918.5
ACSL5,NM_016234.3
TCF7L2,NM_030756.4
HABP2,NM_004132.3
NRAP,NM_001261463.1
CASP7,NM_001267057.1
DCLRE1A,NM_014881.4
ADRB1,NM_000684.2
CCDC186,NM_018017.2
ABLIM1,NM_001003408.1
FAM160B1,NM_001135051.1
GFRA1,NM_005264.4
PNLIP,NM_000936.2
VAX1,NM_001112704.1
KCNK18,NM_181840.1
SLC18A2,NM_003054.4
EMX2,NM_004098.3
RAB11FIP2,NM_014904.2
PRLHR,NM_004248.2
NANOS1,NM_199461.2
FAM45A,NM_207009.3
SFXN4,NM_213649.1
GRK5,NM_005308.2
BAG3,NM_004281.3
SEC23IP,NM_007190.3
WDR11,NM_018117.11
FGFR2,NM_000141.4
ATE1,NM_001001976.2
TACC2,NM_206862.3
ARMS2,NM_001099667.1
HTRA1,NM_002775.4
DMBT1,NM_007329.2
CUZD1,NM_022034.5
ACADSB,NM_001609.3
BUB3,NM_004725.3
OAT,NM_000274.3
ABRAXAS2,NM_032182.3
CTBP2,NM_022802.2
EDRF1,NM_015608.2
MMP21,NM_147191.1
UROS,NM_000375.2
BCCIP,NM_078468.2
DHX32,NM_018180.2
ADAM12,NM_003474.5
C10orf90,NM_001004298.2
DOCK1,NM_001380.4
NPS,NM_001030013.1
MKI67,NM_002417.4
MGMT,NM_002412.3
EBF3,NM_001005463.2
GLRX3,NM_006541.4
STK32C,NM_173575.2
NKX6-2,NM_177400.2
UTF1,NM_003577.2
ECHS1,NM_004092.3
SPRN,NM_001012508.3
CYP2E1,NM_000773.3
SYCE1,NM_130784.2
SIRT3,NM_012239.5
IFITM5,NM_001025295.2
IFITM3,NM_021034.2
PKP3,NM_001303029.1
SIGIRR,NM_021805.2
HRAS,NM_176795.3
HRAS,NM_005343.2
LRRC56,NM_198075.3
IRF7,NM_004031.2
DRD4,NM_000797.3
DEAF1,NM_021008.3
EPS8L2,NM_022772.3
TALDO1,NM_006755.1
SLC25A22,NM_024698.5
PNPLA2,NM_020376.3
CD151,NM_004357.4
MUC6,NM_005961.2
MUC5B,NM_002458.2
TOLLIP,NM_019009.3
BRSK2,NM_001256627.1
CTSD,NM_001909.4
TNNI2,NM_003282.3
TNNT3,NM_006757.3
IGF2,NM_000612.5
IGF2,NM_001127598.2
INS-IGF2,NM_001042376.2
IGF2,NM_001007139.5
INS,NM_000207.2
TH,NM_199292.2
CD81,NM_004356.3
TSSC4,NM_005706.3
KCNQ1,NM_000218.2
CDKN1C,NM_000076.2
OSBPL5,NM_020896.3
NUP98,NM_139132.3
PGAP2,NM_001256240.1
PGAP2,NM_014489.3
STIM1,NM_003156.3
STIM1,NM_001277961.1
C11orf40,NM_144663.1
OR51G1,NM_001005237.1
OR51L1,NM_001004755.1
HBB,NM_000518.4
HBD,NM_000519.3
HBG1,NM_000559.2
HBG2,NM_000184.2
UBQLNL,NM_145053.4
OR52H1,NM_001005289.1
TRIM5,NM_033034.2
TRIM22,NM_006074.4
OR52N4,NM_001005175.3
OR52E4,NM_001005165.1
CNGA4,NM_001037329.3
CCKBR,NM_176875.3
SMPD1,NM_000543.4
DNHD1,NM_144666.2
RRP8,NM_015324.3
ILK,NM_004517.3
TPP1,NM_000391.3
DCHS1,NM_003737.3
ZNF215,NM_013250.2
NLRP14,NM_176822.3
RBMXL2,NM_014469.4
SYT9,NM_175733.3
CYB5R2,NM_016229.4
NLRP10,NM_176821.3
TUB,NM_003320.4
RIC3,NM_001206671.2
ST5,NM_005418.3
SCUBE2,NM_020974.2
DENND5A,NM_015213.3
ZNF143,NM_003442.5
SBF2,NM_030962.3
AMPD3,NM_001025389.1
MRVI1,NM_001098579.2
CTR9,NM_014633.4
EIF4G2,NM_001418.3
GALNT18,NM_198516.2
CSNK2A3,NM_001256686.1
DKK3,NM_015881.5
MICALCL,NM_032867.2
TEAD1,NM_021961.5
ARNTL,NM_001297719.1
PTH,NM_000315.2
FAR1,NM_032228.5
PDE3B,NM_000922.3
CYP2R1,NM_024514.4
CALCB,NM_000728.3
SOX6,NM_033326.3
PIK3C2A,NM_002645.2
NUCB2,NM_005013.2
KCNJ11,NM_000525.3
ABCC8,NM_000352.4
USH1C,NM_153676.3
USH1C,NM_005709.3
OTOG,NM_001277269.1
MYOD1,NM_002478.4
KCNC1,NM_001112741.1
TPH1,NM_004179.2
MRGPRX3,NM_054031.3
SAA4,NM_006512.3
SAA2,NM_030754.4
SAA1,NM_000331.4
HPS5,NM_181507.1
LDHA,NM_005566.3
IGSF22,NM_173588.3
PTPN5,NM_006906.1
CSRP3,NM_003476.4
NAV2,NM_145117.4
DBX1,NM_001029865.2
PRMT3,NM_005788.3
SLC6A5,NM_004211.3
NELL1,NM_006157.4
ANO5,NM_213599.2
FANCF,NM_022725.3
ANO3,NM_031418.2
FIBIN,NM_203371.1
LGR4,NM_018490.2
BDNF,NM_170735.5
KIF18A,NM_031217.3
KCNA4,NM_002233.3
FSHB,NM_000510.2
ARL14EP,NM_152316.2
DCDC5,NM_020869.3
PAX6,NM_000280.4
PAX6,NM_001604.5
WT1,NM_024426.4
QSER1,NM_001076786.2
CD59,NM_203330.2
CAPRIN1,NM_005898.4
NAT10,NM_024662.2
CAT,NM_001752.3
PDHX,NM_003477.2
CD44,NM_000610.3
SLC1A2,NM_004171.3
TRIM44,NM_017583.5
TRAF6,NM_145803.2
RAG1,NM_000448.2
RAG2,NM_000536.3
ACCSL,NM_001031854.2
ACCS,NM_032592.3
EXT2,NM_207122.1
ALX4,NM_021926.3
TSPAN18,NM_130783.4
SLC35C1,NM_018389.4
CRY2,NM_021117.3
MAPK8IP1,NM_005456.3
PEX16,NM_004813.2
PHF21A,NM_016621.3
DGKZ,NM_001105540.1
AMBRA1,NM_001267782.1
ZNF408,NM_024741.2
F2,NM_000506.3
LRP4,NM_002334.3
DDB2,NM_000107.2
ACP2,NM_001610.3
NR1H3,NM_005693.3
MADD,NM_003682.3
MYBPC3,NM_000256.3
SPI1,NM_001080547.1
SLC39A13,NM_152264.4
RAPSN,NM_005055.4
NDUFS3,NM_004551.2
MTCH2,NM_014342.3
AGBL2,NM_024783.3
FNBP4,NM_015308.2
PTPRJ,NM_002843.3
OR4X1,NM_001004726.1
FOLH1,NM_004476.1
OR8H1,NM_001005199.1
OR8K3,NM_001005202.1
LRRC55,NM_001005210.2
SMTNL1,NM_001105565.2
SERPING1,NM_000062.2
CLP1,NM_006831.2
ZDHHC5,NM_015457.2
OR9I1,NM_001005211.1
OR1S2,NM_001004459.1
OR1S1,NM_001004458.1
CNTF,NM_000614.3
GLYAT,NM_201648.2
FAM111B,NM_198947.3
FAM111A,NM_022074.3
MPEG1,NM_001039396.1
OSBP,NM_002556.2
OR10V1,NM_001005324.1
STX3,NM_004177.4
GIF,NM_005142.2
TCN1,NM_001062.3
MS4A2,NM_000139.4
MS4A6A,NM_152852.2
MS4A6A,NM_152851.2
MS4A6E,NM_139249.2
MS4A7,NM_206939.1
MS4A1,NM_152866.2
MS4A10,NM_206893.3
ZP1,NM_207341.3
TMEM132A,NM_017870.3
CD6,NM_006725.4
TMEM138,NM_016464.4
TMEM216,NM_001173990.2
SDHAF2,NM_017841.2
LRRC10B,NM_001145077.1
DAGLA,NM_006133.2
FEN1,NM_004111.5
FADS2,NM_004265.3
BEST1,NM_004183.3
FTH1,NM_002032.2
INCENP,NM_020238.2
ASRGL1,NM_001083926.1
AHNAK,NM_001620.2
EEF1G,NM_001404.4
TUT1,NM_022830.2
ROM1,NM_000327.3
B3GAT3,NM_012200.3
GANAB,NM_198335.3
INTS5,NM_030628.1
UQCC3,NM_001085372.2
BSCL2,NM_032667.6
BSCL2,NM_001130702.2
BSCL2,NM_001122955.3
CHRM1,NM_000738.2
SLC22A6,NM_004790.4
SLC22A25,NM_199352.3
SLC22A9,NM_080866.2
ATL3,NM_015459.4
RTN3,NM_001265589.1
COX8A,NM_004074.2
FLRT1,NM_013280.4
FERMT3,NM_031471.5
VEGFB,NM_003377.4
BAD,NM_004322.3
ESRRA,NM_004451.4
TRMT112,NM_016404.2
SLC22A11,NM_018484.2
SLC22A12,NM_144585.3
NRXN2,NM_138732.2
NRXN2,NM_138734.2
NRXN2,NM_015080.3
RASGRP2,NM_153819.1
PYGM,NM_005609.2
MEN1,NM_130799.2
EHD1,NM_001282444.1
PPP2R5B,NM_006244.3
ZFPL1,NM_006782.3
SYVN1,NM_032431.2
SPDYC,NM_001008778.1
CAPN1,NM_001198868.1
SLC22A20P,NM_001004326.4
SCYL1,NM_020680.3
LTBP3,NM_001130144.2
SIPA1,NM_153253.29
RELA,NM_021975.3
KAT5,NM_006388.3
RNASEH2C,NM_032193.3
SNX32,NM_152760.2
MUS81,NM_025128.4
EFEMP2,NM_016938.4
FIBP,NM_198897.1
TSGA10IP,NM_152762.2
SART1,NM_005146.4
BANF1,NM_001143985.1
CATSPER1,NM_053054.3
PACS1,NM_018026.3
B4GAT1,NM_006876.2
SLC29A2,NM_001532.2
NPAS4,NM_178864.3
PELI3,NM_145065.2
DPP3,NM_005700.4
BBS1,NM_024649.4
ACTN3,NM_001104.3
CTSF,NM_003793.3
CCS,NM_005125.1
RBM4B,NM_031492.3
SPTBN2,NM_006946.2
PC,NM_000920.3
CLCF1,NM_013246.2
RAD9A,NM_004584.2
RPS6KB2,NM_003952.2
GPR152,NM_206997.1
CABP4,NM_145200.3
AIP,NM_003977.3
PITPNM1,NM_004910.2
CABP2,NM_016366.2
GSTP1,NM_000852.3
NDUFV1,NM_007103.3
TBX10,NM_005995.4
ACY3,NM_080658.1
UNC93B1,NM_030930.3
NDUFS8,NM_002496.3
TCIRG1,NM_006019.3
KMT5B,NM_017635.4
LRP5,NM_002335.3
PPP6R3,NM_001164160.1
GAL,NM_015973.3
CPT1A,NM_001876.3
IGHMBP2,NM_002180.2
TPCN2,NM_139075.3
CCND1,NM_053056.2
FGF19,NM_005117.2
FGF3,NM_005247.2
FADD,NM_003824.3
PPFIA1,NM_003626.3
CTTN,NM_001184740.1
SHANK2,NM_012309.4
DHCR7,NM_001360.2
NUMA1,NM_006185.3
LRTOMT,NM_001145310.3
LRTOMT,NM_001145308.4
FOLR3,NM_000804.2
FOLR1,NM_016725.2
INPPL1,NM_001567.3
PHOX2A,NM_005169.3
CLPB,NM_030813.4
ARAP1,NM_015242.4
STARD10,NM_006645.2
ATG16L2,NM_033388.1
P2RY2,NM_176072.2
ARHGEF17,NM_014786.3
RELT,NM_032871.3
DNAJB13,NM_153614.3
UCP2,NM_003355.2
UCP3,NM_003356.3
C2CD3,NM_001286577.1
C2CD3,NM_015531.5
KCNE3,NM_005472.4
LIPT2,NM_001144869.1
POLD3,NM_006591.2
SLCO2B1,NM_007256.4
GDPD5,NM_030792.6
SERPINH1,NM_001235.3
DGAT2,NM_032564.4
UVRAG,NM_003369.3
WNT11,NM_004626.2
LRRC32,NM_005512.2
ACER3,NM_001300953.1
CAPN5,NM_004055.4
MYO7A,NM_000260.3
MYO7A,NM_001127179.2
MYO7A,NM_001127180.1
CLNS1A,NM_001293.2
ALG8,NM_024079.4
KCTD21,NM_001029859.2
GAB2,NM_080491.2
NARS2,NM_024678.5
TENM4,NM_001098816.2
PRCP,NM_005040.2
CCDC90B,NM_021825.4
DLG2,NM_001142699.1
DLG2,NM_001142700.1
TMEM126B,NM_018480.4
TMEM126A,NM_032273.3
SYTL2,NM_032943.4
PICALM,NM_007166.3
EED,NM_003797.3
HIKESHI,NM_016401.3
FZD4,NM_012193.3
TMEM135,NM_022918.3
CTSC,NM_001814.4
GRM5,NM_001143831.2
TYR,NM_000372.4
FAT3,NM_001008781.2
MTNR1B,NM_005959.3
MED17,NM_004268.4
PANX1,NM_015368.3
MRE11,NM_005591.3
PIWIL4,NM_152431.2
AMOTL1,NM_130847.2
CEP57,NM_014679.4
MTMR2,NM_016156.5
MAML2,NM_032427.3
CCDC82,NM_024725.3
CNTN5,NM_014361.3
PGR,NM_000926.4
TRPC6,NM_004621.5
ANGPTL5,NM_178127.4
CEP126,NM_020802.3
YAP1,NM_001130145.2
BIRC3,NM_001165.4
MMP7,NM_002423.3
MMP20,NM_004771.3
MMP8,NM_002424.2
MMP10,NM_002425.2
MMP1,NM_002421.3
MMP3,NM_002422.3
MMP12,NM_002426.4
MMP13,NM_002427.3
DYNC2H1,NM_001080463.1
CASP5,NM_004347.3
CASP1,NM_033292.3
GRIA4,NM_000829.3
CWF19L2,NM_152434.2
CUL5,NM_003478.3
ACAT1,NM_000019.3
NPAT,NM_002519.2
ATM,NM_000051.3
KDELC2,NM_153705.4
EXPH5,NM_015065.2
RDX,NM_002906.3
PPP2R1B,NM_002716.4
ALG9,NM_024740.2
CRYAB,NM_001885.2
DLAT,NM_001931.4
SDHD,NM_003002.3
IL18,NM_001562.3
PTS,NM_000317.2
NCAM1,NM_000615.6
ANKK1,NM_178510.1
DRD2,NM_000795.3
TMPRSS5,NM_030770.3
HTR3B,NM_006028.4
HTR3A,NM_000869.5
ZBTB16,NM_006006.4
RBM7,NM_016090.3
CADM1,NM_014333.3
BUD13,NM_032725.3
ZPR1,NM_003904.3
APOA5,NM_052968.4
APOA4,NM_000482.3
APOC3,NM_000040.1
APOA1,NM_000039.1
PAFAH1B2,NM_001184746.1
PCSK7,NM_004716.3
BACE1,NM_012104.4
CEP164,NM_014956.4
DSCAML1,NM_020693.3
FXYD2,NM_001680.4
IL10RA,NM_001558.3
TMPRSS4,NM_019894.3
SCN4B,NM_174934.3
SCN2B,NM_004588.4
MPZL3,NM_198275.2
CD3E,NM_000733.3
CD3D,NM_000732.4
CD3G,NM_000073.2
UBE4A,NM_004788.3
KMT2A,NM_001197104.1
ARCN1,NM_001655.4
PHLDB1,NM_015157.3
TREH,NM_007180.2
BCL9L,NM_182557.2
UPK2,NM_006760.3
HYOU1,NM_006389.4
VPS11,NM_021729.5
HMBS,NM_000190.3
DPAGT1,NM_001382.3
NLRX1,NM_024618.3
CBL,NM_005188.3
MCAM,NM_006500.2
C1QTNF5,NM_015645.4
MFRP,NM_031433.3
USP2,NM_004205.4
NECTIN1,NM_203285.1
NECTIN1,NM_002855.4
ARHGEF12,NM_015313.2
GRIK4,NM_014619.4
TECTA,NM_005422.2
SC5D,NM_006918.4
SORL1,NM_003105.5
HSPA8,NM_006597.5
CLMP,NM_024769.2
GRAMD1B,NM_020716.2
SCN3B,NM_018400.3
OR10G4,NM_001004462.1
OR10G7,NM_001004463.1
SIAE,NM_170601.4
ESAM,NM_138961.2
ROBO3,NM_022370.3
HEPACAM,NM_152722.4
STT3A,NM_001278503.1
PUS3,NM_031307.3
HYLS1,NM_145014.2
DDX25,NM_013264.4
CDON,NM_016952.4
FOXRED1,NM_017547.3
TIRAP,NM_148910.2
DCPS,NM_014026.4
KIRREL3,NM_032531.3
ETS1,NM_001143820.1
FLI1,NM_002017.4
KCNJ1,NM_000220.4
KCNJ5,NM_000890.3
TP53AIP1,NM_022112.2
ARHGAP32,NM_001142685.1
NFRKB,NM_006165.3
PRDM10,NM_020228.2
ST14,NM_021978.3
ADAMTS15,NM_139055.2
SNX19,NM_014758.2
NTM,NM_001144058.1
JAM3,NM_032801.4
NCAPD3,NM_015261.2
ACAD8,NM_014384.2
IQSEC3,NM_001170738.1
SLC6A12,NM_003044.4
SLC6A13,NM_001190997.2
SLC6A13,NM_001243392.1
KDM5A,NM_001042603.2
WNK1,NM_018979.3
WNK1,NM_213655.4
WNK1,NM_001184985.1
RAD52,NM_134424.3
ERC1,NM_178039.3
WNT5B,NM_032642.2
ADIPOR2,NM_024551.2
CACNA2D4,NM_172364.4
DCP1B,NM_152640.3
CACNA1C,NM_000719.6
CACNA1C,NM_001129837.1
CACNA1C,NM_001167625.1
FOXM1,NM_202002.2
RHNO1,NM_001252499.2
CCND2,NM_001759.3
FGF23,NM_020638.2
C12orf4,NM_020374.3
NDUFA9,NM_005002.4
KCNA1,NM_000217.2
KCNA5,NM_002234.3
NTF3,NM_002527.4
ANO2,NM_001278596.1
VWF,NM_000552.3
CD9,NM_001769.3
TNFRSF1A,NM_001065.3
SCNN1A,NM_001038.5
CD27,NM_001242.4
VAMP1,NM_014231.4
NCAPD2,NM_014865.3
GAPDH,NM_002046.5
CHD4,NM_001273.3
PIANP,NM_001244014.1
CD4,NM_000616.4
GNB3,NM_002075.3
TPI1,NM_000365.5
ENO2,NM_001975.2
ATN1,NM_001007026.1
C12orf57,NM_138425.3
PTPN6,NM_080549.3
PHB2,NM_001144831.1
EMG1,NM_006331.7
C1S,NM_201442.2
RBP5,NM_031491.2
PEX5,NM_001131025.1
CD163L1,NM_174941.5
CD163,NM_004244.5
GDF3,NM_020634.1
CLEC4C,NM_130441.2
SLC2A3,NM_006931.2
C3AR1,NM_004054.2
NECAP1,NM_015509.3
AICDA,NM_020661.2
MFAP5,NM_003480.3
A2ML1,NM_144670.4
PHC1,NM_004426.2
A2M,NM_000014.4
PZP,NM_002864.2
KLRB1,NM_002258.2
CLEC2D,NM_013269.5
CLEC7A,NM_197947.2
OLR1,NM_002543.3
KLRK1,NM_007360.3
KLRC2,NM_002260.3
KLRC1,NM_002259.4
TAS2R9,NM_023917.2
TAS2R50,NM_176890.2
TAS2R19,NM_176888.2
TAS2R31,NM_176885.2
TAS2R46,NM_176887.2
TAS2R43,NM_176884.2
TAS2R30,NM_001097643.1
TAS2R42,NM_181429.2
PRB3,NM_006249.5
PRB4,NM_002723.4
PRB1,NM_005039.3
ETV6,NM_001987.4
LRP6,NM_002336.2
MANSC1,NM_018050.2
CDKN1B,NM_004064.4
DDX47,NM_016355.3
GPRC5A,NM_003979.3
FAM234B,NM_020853.1
GRIN2B,NM_000834.3
GUCY2C,NM_004963.3
ART4,NM_021071.2
MGP,NM_000900.3
PDE6H,NM_006205.2
PTPRO,NM_030667.2
EPS8,NM_004447.5
PIK3C2G,NM_004570.5
PLCZ1,NM_033123.3
PDE3A,NM_000921.4
SLCO1C1,NM_001145944.1
SLCO1B3,NM_019844.3
SLCO1B7,NM_001009562.4
SLCO1B1,NM_006446.4
SLCO1A2,NM_021094.3
IAPP,NM_000415.2
PYROXD1,NM_024854.3
RECQL,NM_002907.3
GYS2,NM_021957.3
LDHB,NM_002300.6
KCNJ8,NM_004982.3
ABCC9,NM_005691.3
SOX5,NM_006940.4
SOX5,NM_152989.3
BCAT1,NM_005504.6
KRAS,NM_004985.4
KRAS,NM_033360.3
BHLHE41,NM_030762.2
ITPR2,NM_002223.2
INTS13,NM_018164.2
STK38L,NM_015000.3
ARNTL2,NM_020183.4
MRPS35,NM_021821.3
PTHLH,NM_198965.1
CCDC91,NM_018318.3
TSPAN11,NM_001080509.2
DDX11,NM_030653.3
FGD4,NM_139241.3
DNM1L,NM_012062.4
YARS2,NM_001040436.2
PKP2,NM_004572.3
ALG10B,NM_001013620.3
KIF21A,NM_017641.3
SLC2A13,NM_052885.3
LRRK2,NM_198578.3
CNTN1,NM_001843.3
PRICKLE1,NM_153026.2
IRAK4,NM_016123.3
ANO6,NM_001025356.2
ARID2,NM_152641.2
RAPGEF3,NM_001098531.2
SLC48A1,NM_017842.2
VDR,NM_001017535.1
COL2A1,NM_001844.4
PFKM,NM_000289.5
KANSL2,NM_017822.3
ADCY6,NM_015270.3
CACNB3,NM_001206915.1
CCDC65,NM_033124.4
WNT10B,NM_003394.3
WNT1,NM_005430.3
PRKAG1,NM_001206709.1
KMT2D,NM_003482.3
DHH,NM_021044.2
TUBA1A,NM_006009.3
PRPH,NM_006262.3
TROAP,NM_005480.3
KCNH3,NM_012284.1
FAM186B,NM_032130.2
AQP2,NM_000486.5
AQP5,NM_001651.3
ASIC1,NM_020039.3
GPD1,NM_005276.3
COX14,NM_032901.3
ATF1,NM_005171.4
SLC11A2,NM_000617.2
SLC11A2,NM_001174125.1
CELA1,NM_001971.5
SCN8A,NM_014191.3
ACVRL1,NM_000020.2
GRASP,NM_181711.3
KRT80,NM_182507.2
KRT7,NM_005556.3
KRT81,NM_002281.3
KRT86,NM_002284.3
KRT83,NM_002282.3
KRT85,NM_002283.3
KRT82,NM_033033.3
KRT75,NM_004693.2
KRT6B,NM_005555.3
KRT6C,NM_173086.4
KRT6A,NM_005554.3
KRT5,NM_000424.3
KRT71,NM_033448.2
KRT74,NM_175053.3
KRT2,NM_000423.2
KRT1,NM_006121.3
KRT3,NM_057088.2
KRT4,NM_002272.3
KRT8,NM_002273.3
KRT18,NM_000224.2
IGFBP6,NM_002178.2
SOAT2,NM_003578.3
CSAD,NM_015989.4
RARG,NM_000966.5
ESPL1,NM_012291.4
C12orf10,NM_021640.3
AAAS,NM_015665.5
SP7,NM_001173467.2
AMHR2,NM_020547.2
HOXC13,NM_017410.2
HOXC12,NM_173860.1
HOXC11,NM_014212.3
CBX5,NM_001127322.1
HNRNPA1,NM_031157.2
ZNF385A,NM_001130967.2
ITGA5,NM_002205.2
PPP1R1A,NM_006741.3
OR6C6,NM_001005493.1
OR6C75,NM_001005497.1
OR6C65,NM_001005518.1
METTL7B,NM_152637.2
ITGA7,NM_002206.2
RDH5,NM_002905.3
MMP19,NM_002429.5
PMEL,NM_001200054.1
CDK2,NM_001798.4
SUOX,NM_000456.2
RPS26,NM_001029.3
ERBB3,NM_001982.3
ZC3H10,NM_032786.2
SMARCC2,NM_003075.3
SMARCC2,NM_001130420.1
SLC39A5,NM_173596.2
STAT2,NM_005419.3
TIMELESS,NM_003920.3
MIP,NM_012064.3
GLS2,NM_013267.3
RBMS2,NM_002898.3
SDR9C7,NM_148897.2
TAC3,NM_013251.3
MYO1A,NM_005379.3
LRP1,NM_002332.2
STAC3,NM_145064.2
GLI1,NM_005269.2
ARHGAP9,NM_032496.2
MARS,NM_004990.3
MBD6,NM_052897.3
DCTN2,NM_006400.4
KIF5A,NM_004984.2
B4GALNT1,NM_001478.4
AGAP2,NM_001122772.2
TSPAN31,NM_005981.3
CDK4,NM_000075.3
CYP27B1,NM_000785.3
TSFM,NM_001172696.1
ATP23,NM_033276.2
USP15,NM_001252078.1
DPY19L2,NM_173812.4
RXYLT1,NM_014254.2
SRGAP1,NM_020762.2
XPOT,NM_007235.4
TBK1,NM_013254.3
GNS,NM_002076.3
TBC1D30,NM_015279.1
WIF1,NM_007191.4
LEMD3,NM_014319.4
MSRB3,NM_198080.3
MSRB3,NM_001031679.2
HMGA2,NM_003483.4
IRAK3,NM_007199.2
HELB,NM_033647.3
GRIP1,NM_021150.3
IL22,NM_020525.4
MDM1,NM_017440.4
RAP1B,NM_015646.5
NUP107,NM_020401.2
SLC35E3,NM_018656.2
MDM2,NM_002392.5
LYZ,NM_000239.2
CCT2,NM_006431.2
LRRC10,NM_201550.3
PTPRB,NM_001109754.2
TSPAN8,NM_004616.2
LGR5,NM_003667.3
RAB21,NM_014999.2
TPH2,NM_173353.3
CAPS2,NM_032606.3
GLIPR1L2,NM_001270396.1
BBS10,NM_024685.3
NAV3,NM_001024383.1
SYT1,NM_005639.2
PAWR,NM_002583.2
OTOGL,NM_173591.3
PTPRQ,NM_001145026.1
MYF6,NM_002469.2
TMTC2,NM_152588.1
SLC6A15,NM_182767.5
ALX1,NM_006982.2
CEP290,NM_025114.3
TMTC3,NM_181783.3
KITLG,NM_000899.4
DUSP6,NM_001946.3
POC1B,NM_172240.2
EPYC,NM_004950.4
KERA,NM_007035.3
LUM,NM_002345.3
DCN,NM_001920.3
PLEKHG7,NM_001004330.2
EEA1,NM_003566.3
CRADD,NM_003805.3
CEP83,NM_016122.2
NDUFA12,NM_018838.4
FGD6,NM_018351.3
USP44,NM_032147.4
HAL,NM_002108.3
TMPO,NM_003276.2
TMPO,NM_001032283.2
SLC25A3,NM_005888.3
IKBIP,NM_201612.2
IKBIP,NM_153687.3
APAF1,NM_181861.1
ANKS1B,NM_181670.3
ANKS1B,NM_152788.4
FAM71C,NM_153364.3
UHRF1BP1L,NM_015054.1
SLC17A8,NM_139319.2
NR1H4,NM_005123.3
MYBPC1,NM_002465.3
SYCP3,NM_153694.4
GNPTAB,NM_024312.4
NUP37,NM_024057.2
IGF1,NM_000618.3
PAH,NM_000277.1
ASCL1,NM_004316.3
STAB2,NM_017564.9
HSP90B1,NM_003299.2
TDG,NM_003211.4
GLT8D2,NM_031302.3
TXNRD1,NM_182743.2
ALDH1L2,NM_001034173.3
WASHC4,NM_015275.2
APPL2,NM_018171.3
NUAK1,NM_014840.2
TCP11L2,NM_152772.2
POLR3B,NM_018082.5
CRY1,NM_004075.4
BTBD11,NM_001018072.1
SART3,NM_014706.3
ISCU,NM_213595.3
SELPLG,NM_003006.4
SSH1,NM_018984.3
DAO,NM_001917.4
USP30,NM_032663.4
UNG,NM_080911.2
ACACB,NM_001093.3
MYO1H,NM_001101421.3
